user_id,gender,age
150,1,38
281,1,39
1250,1,60
1851,1,36
2080,1,40
2590,2,36
2661,2,49
3370,2,37
3421,2,36
3490,2,31
4241,2,34
5140,2,38
5620,1,42
5910,1,10
6050,2,36
6220,2,46
6531,2,32
6910,1,39
6990,1,37
7031,2,40
7111,2,46
7561,2,36
7781,1,41
7850,2,37
8101,2,39
8391,2,38
8651,2,38
8790,2,32
9081,1,49
9530,2,36
9670,2,43
9850,1,40
9890,1,38
10291,2,38
10331,2,35
10750,2,55
10801,2,35
13350,2,36
13680,2,35
13810,2,31
14411,2,41
14681,2,35
14950,1,36
14971,1,39
14990,2,34
15100,2,35
15350,1,46
15651,2,36
15710,2,42
15760,2,42
15910,2,44
16021,1,12
16510,1,36
16711,2,35
16751,2,37
17100,2,44
17131,2,46
17140,2,56
17440,2,35
17450,1,41
17531,2,33
17770,2,34
17861,2,34
17890,2,34
18110,2,35
18131,2,36
19060,2,42
19930,2,35
20080,2,34
20711,2,39
21511,2,36
21671,2,40
21731,2,53
21800,2,61
21921,2,41
22870,2,36
22971,2,37
23970,2,37
24231,2,44
25020,2,32
25171,2,9
25190,2,44
25290,1,9
25570,2,39
26291,1,45
26301,2,33
26670,2,41
26851,2,36
26871,2,37
27120,2,32
27130,2,38
27181,2,38
27991,1,34
28231,2,33
28270,2,53
28800,1,35
28951,2,7
29361,1,34
29410,2,9
29700,2,37
30031,1,33
30160,2,36
30510,2,31
30631,2,33
31131,2,36
31280,2,41
32451,2,5
32750,1,42
33181,2,30
33340,2,48
33650,2,35
33770,2,32
33830,2,36
33850,1,36
34041,2,38
34081,2,34
34291,2,40
34390,2,37
34531,2,41
34670,2,45
34740,2,36
35550,2,38
35620,1,13
35641,2,36
36270,2,46
37081,2,46
37350,2,35
37640,2,36
37691,1,29
37850,2,30
37951,2,34
38351,2,34
38450,2,39
38661,2,37
38901,2,38
38940,2,34
39411,2,30
39541,2,34
39881,2,34
40330,2,40
40520,2,32
40691,2,31
41040,2,37
41090,2,13
41150,2,38
41350,2,42
41770,2,42
41990,2,33
42150,2,42
42360,2,33
42410,2,32
42511,2,31
42691,2,32
43071,2,41
43991,2,57
44500,2,9
44861,2,33
44970,2,38
45050,2,34
45220,2,34
46090,1,38
46481,2,29
46650,2,40
46831,2,40
46970,2,40
47371,2,8
47410,2,35
47940,2,40
48221,1,42
48831,1,8
48890,1,33
49261,2,31
49291,1,35
49380,2,37
49411,2,7
49501,2,13
49950,2,36
50120,2,33
50200,2,31
50691,1,38
51041,2,35
51320,2,33
51360,1,35
51630,2,41
52660,2,34
52680,2,37
52741,2,30
52770,2,40
52780,2,36
53250,2,37
53320,2,32
53460,2,32
53640,2,33
53811,1,56
54570,2,31
54711,1,36
54890,1,39
54911,2,34
54971,2,29
55000,2,30
55071,2,36
55161,2,28
55171,1,32
55251,2,47
55470,2,39
55750,2,31
55861,2,31
56011,2,9
56130,2,3
56360,2,36
56410,2,38
56560,2,35
56641,2,31
56871,2,33
57591,2,35
57711,1,37
57730,2,37
58331,2,46
58401,2,29
59011,2,35
59100,2,32
59130,2,41
59211,2,50
59260,1,31
59371,1,37
59601,2,31
59661,1,43
59720,2,31
59831,2,35
60020,2,32
60110,2,34
60221,2,30
60390,1,35
60400,2,34
60490,2,13
60520,2,34
60521,2,38
60730,2,9
61020,1,34
61200,2,30
61560,1,34
61600,2,32
61680,2,26
61691,2,37
61981,2,33
62001,2,33
62090,2,33
62260,2,35
62421,2,48
62451,1,32
62701,2,34
62750,2,36
63830,2,29
64000,2,44
64080,2,33
64171,2,11
64280,2,35
64400,1,33
64530,2,24
65461,2,36
65740,2,33
65841,2,30
65871,1,34
65881,2,33
66320,2,41
66561,2,33
66860,2,46
66861,2,35
67000,2,31
67301,2,40
67350,2,36
67351,1,34
68131,2,44
68600,2,32
68660,2,32
68790,2,36
68910,1,31
69020,1,34
69311,1,52
69420,2,32
69521,2,34
69580,2,35
69711,2,31
70090,2,42
70300,2,31
71051,2,41
71161,1,37
71240,2,43
71310,2,31
71751,2,33
71971,2,37
72241,2,30
72750,2,27
73050,2,32
73081,2,33
73181,2,30
73300,2,42
73301,2,38
73951,1,5
74030,2,35
74200,2,35
74370,2,37
74571,2,36
74790,2,33
75380,2,33
76211,2,32
76220,1,29
76281,1,31
76811,2,29
76921,2,29
76971,2,32
77631,2,33
77700,2,43
78310,1,34
78491,1,44
78640,2,46
78851,2,36
78871,2,35
79031,2,42
79070,2,33
79100,2,33
79360,1,33
79380,1,34
79720,2,37
79851,2,32
80320,2,36
80530,2,95
80861,1,34
81100,2,25
81311,1,33
81450,2,30
81691,2,37
81801,2,35
82010,2,39
82160,2,34
82300,2,33
82490,2,31
82761,2,9
83350,2,42
83960,2,32
83961,2,30
84311,2,33
84360,2,37
84471,2,41
84540,2,37
84591,2,40
84741,1,33
84790,2,31
84801,2,30
84910,2,7
85001,2,39
85231,2,35
85321,2,30
85371,2,46
85430,1,34
85580,2,33
85661,1,33
85791,2,39
85891,2,33
86020,2,35
86070,2,44
86100,2,32
86261,1,37
86470,1,37
86891,2,37
87071,2,35
87531,2,32
87850,2,40
87860,2,42
87891,1,35
88111,1,32
88170,2,37
88171,2,5
88271,2,29
88321,1,35
88511,2,35
88630,2,34
88751,2,34
89011,2,37
89561,2,33
89581,2,32
90001,2,31
90121,2,32
90150,2,35
90700,2,35
91222,2,35
91231,2,45
91310,2,34
91421,2,36
91441,1,9
91690,2,31
91840,2,37
92030,2,36
92040,2,36
92050,2,34
92110,2,34
92141,2,38
93041,1,30
93440,1,38
93670,2,32
94430,2,39
94460,1,42
94901,2,31
95111,2,30
95430,2,40
95471,2,42
95610,2,35
95691,2,32
96061,1,34
96241,2,31
96361,2,35
96470,1,58
96480,1,38
97300,2,35
97400,2,49
97600,2,36
97921,1,33
98060,2,32
98071,1,34
98250,2,33
98401,2,32
98411,2,31
98510,2,34
98821,1,43
98911,1,36
99071,2,33
99140,1,39
99511,2,30
99760,2,33
99940,1,30
100090,1,35
100420,2,31
100441,2,30
100580,1,33
100770,1,33
101060,2,27
101421,1,38
101500,2,34
101981,1,34
102360,2,49
102401,2,36
102421,2,26
102610,2,33
102621,2,36
102640,2,36
102701,2,33
102770,2,43
102840,2,30
103041,2,33
103451,2,30
103490,2,46
103581,2,34
103850,2,32
103860,2,29
104000,2,33
104041,2,32
104111,2,27
104141,2,33
104180,2,40
104240,2,34
104461,2,34
105060,2,35
105081,1,31
105480,2,31
105930,2,37
106010,2,35
106071,2,36
106150,2,33
106291,2,39
106331,1,55
106660,1,32
106910,2,36
107141,2,36
107391,2,12
107441,2,29
107450,2,33
107481,2,30
107840,2,37
108010,2,32
108021,1,34
108160,2,34
108520,2,7
108580,2,37
108590,2,31
108941,2,30
108961,1,46
109040,2,43
109061,2,27
109111,2,34
109121,1,12
109281,2,34
109290,2,28
109350,2,30
109600,1,35
109651,2,35
109690,2,36
109740,2,31
109771,2,43
109810,2,37
110121,2,47
110240,2,29
110400,2,29
110580,2,31
110601,2,36
110610,1,34
110631,2,38
110640,2,33
110730,2,27
110871,2,29
110881,2,42
110900,2,33
111271,2,32
111610,1,31
111890,2,6
112101,2,29
112241,2,28
112350,2,31
112351,2,32
112420,1,32
112441,2,41
112630,2,32
112731,2,40
112801,2,42
112821,2,37
112831,2,32
113081,2,37
113140,2,56
113930,2,39
114030,2,30
114080,2,32
114131,2,33
114190,2,35
114230,2,28
114260,1,35
114300,2,25
114350,2,38
114391,2,31
114591,2,31
114620,2,48
114681,2,36
114711,2,29
114741,2,35
114920,1,29
114981,2,27
115210,2,32
115931,2,29
116110,2,27
116120,2,30
116311,2,30
116431,2,38
116540,1,29
116851,2,37
117050,1,41
117130,2,31
117211,1,31
117251,2,36
117301,2,32
117330,2,35
117361,2,35
117431,2,29
117491,2,32
117621,2,30
117811,2,13
118191,2,37
118421,2,27
118561,2,32
118611,2,33
118861,2,33
118961,1,34
119001,2,29
119301,2,35
119310,2,31
119391,2,32
119431,2,29
119901,2,37
119981,1,33
120251,2,30
120571,1,35
120620,1,34
120750,2,31
120751,2,34
120761,2,35
121100,2,35
121130,2,29
121160,2,30
121171,2,35
121271,2,46
121570,1,31
121640,2,31
121850,1,47
121860,2,33
121930,2,30
121980,2,33
122031,2,42
122210,2,43
122220,2,36
122321,2,34
122441,2,31
122491,2,32
122600,1,42
122641,2,33
122851,2,44
122981,1,36
123210,2,30
123531,2,33
123670,1,44
123840,2,28
123861,2,28
123930,1,36
124351,2,32
124361,2,36
124830,1,37
125081,2,38
125130,1,35
125180,2,35
125220,2,31
125330,2,35
125400,2,37
125440,2,35
125511,2,31
125611,1,41
125620,2,28
125870,2,53
126001,2,33
126261,1,40
126551,1,35
126670,2,35
126691,2,33
126700,2,32
126711,2,39
126731,2,32
126780,2,30
126781,2,38
126801,2,45
126920,2,29
126931,1,43
127440,2,28
127550,2,3
127590,2,34
127841,2,36
127961,2,36
128281,2,31
128330,2,30
128390,2,46
128420,2,30
128461,1,30
128511,1,37
128750,2,33
129181,1,36
129260,1,40
129590,2,29
129711,1,6
129760,2,29
129970,2,35
129981,1,33
130031,2,27
130450,2,30
130651,1,31
130661,2,37
130710,2,34
131100,2,34
131280,2,22
131380,2,35
131580,2,34
131621,2,27
131690,2,9
131711,1,36
131750,2,34
131761,2,34
131920,2,34
132270,2,35
132431,2,33
132541,2,37
132570,2,32
132680,2,39
132711,2,37
132771,2,30
132950,2,33
132951,2,43
133210,2,33
133351,2,45
133471,2,31
133780,2,35
133790,2,30
133791,2,36
134030,1,35
134151,1,28
134180,2,35
134311,2,34
134451,2,31
134671,1,32
134961,1,8
135041,2,25
135190,2,35
135290,2,38
135331,2,30
135400,2,32
135580,2,33
135590,2,28
135620,1,32
135691,2,38
135811,2,32
135980,2,28
136081,2,36
136230,1,34
136331,2,35
136421,2,37
136480,2,38
136641,1,31
136810,2,30
136911,2,32
137150,2,32
137231,2,29
137381,2,36
137390,2,36
137500,2,27
137550,2,35
137601,2,39
137821,1,33
138240,2,52
138270,2,6
138281,2,34
138350,2,32
138380,1,30
138400,2,28
138401,2,28
138480,2,39
138620,2,31
138630,2,34
138900,1,38
138961,2,32
139371,2,34
139500,1,42
139680,2,35
140231,2,29
140451,1,21
140460,1,13
140691,2,32
140910,2,30
141090,2,28
141141,2,38
141180,2,28
141230,2,35
141270,1,36
141280,1,33
141320,2,41
141431,2,31
141441,2,35
141550,1,34
141580,1,55
141890,1,44
142100,2,41
142150,1,33
142220,2,33
142221,2,36
142250,2,29
142351,2,35
142371,2,32
142410,2,34
142470,1,38
142591,1,49
142630,2,30
142670,2,38
142780,2,28
142921,2,39
142931,2,31
142941,2,9
143051,1,40
143110,2,33
143190,2,32
143241,2,26
143471,2,30
143711,2,37
143840,1,46
143881,2,29
143910,1,34
144590,2,30
144600,2,35
144650,2,33
145061,1,52
145101,2,33
145190,2,27
145321,2,29
145961,2,30
146100,2,28
146300,2,31
146370,2,34
146431,2,32
146841,2,26
146860,1,34
147060,1,35
147420,2,30
147450,2,33
147560,1,33
147750,2,28
147891,2,27
147930,2,31
148191,2,37
148571,2,34
148760,2,33
148840,1,2
148890,2,39
149450,2,33
