book_id,genre_id
20,433
20,1217
35,141
35,142
35,146
35,1223
53,616
53,1142
54,125
54,127
54,433
69,127
69,1280
72,128
72,1311
72,1312
76,433
86,412
86,441
86,444
106,1255
106,1268
139,433
139,1224
139,1225
140,424
140,433
141,430
141,529
142,126
142,1310
147,1235
147,1314
152,426
154,1251
154,1254
160,426
161,426
162,1226
162,1314
166,433
166,1224
167,433
167,1223
169,409
169,1224
169,1225
175,433
175,1225
183,129
183,1222
183,1326
190,464
190,465
194,434
204,446
204,1279
204,1280
206,1217
206,1279
206,1280
208,424
208,1235
209,464
219,424
219,1229
225,409
225,444
225,1225
236,426
276,468
276,479
290,1233
290,1314
299,426
307,616
307,618
313,424
313,1235
314,150
314,1318
317,409
317,444
317,1223
321,1241
321,1251
322,1241
322,1251
332,409
332,1124
332,1223
340,434
346,426
349,137
349,150
349,1318
370,459
370,464
370,465
371,126
371,127
371,128
375,127
375,128
402,140
403,446
403,1128
403,1129
408,127
408,128
422,412
431,547
431,549
436,142
436,146
436,1223
444,1251
444,1254
445,1251
445,1254
455,141
455,142
455,146
455,1225
456,141
456,142
456,146
456,1225
458,1240
458,1242
470,7
470,512
481,1217
485,1255
485,1268
497,140
504,1142
511,1217
528,426
528,1242
529,1223
529,1224
530,433
530,1225
538,424
540,142
540,146
540,1223
541,426
545,424
551,441
551,444
551,1142
559,141
559,1318
560,424
568,426
578,141
578,146
578,1223
584,131
603,1314
609,141
609,142
609,146
609,1223
639,126
639,130
653,430
653,527
673,430
687,549
687,696
689,409
689,441
689,615
695,412
695,441
695,442
695,527
703,137
703,1318
712,1314
713,142
713,1314
715,412
715,441
715,444
717,464
717,465
717,479
719,518
719,1142
722,141
722,142
722,146
722,1223
725,447
725,1136
725,1218
727,1136
727,1284
727,1326
740,424
755,412
755,441
755,443
756,426
763,141
763,1318
766,140
777,1314
802,1142
807,146
807,1225
810,141
810,146
810,1223
811,424
815,412
815,441
815,1224
826,1128
826,1129
850,464
850,465
865,412
865,1217
926,412
926,1217
955,433
955,1217
963,409
963,1223
970,537
970,670
970,691
1075,74
1075,616
1076,600
1076,1127
1076,1268
1079,426
1080,424
1080,433
1081,141
1081,142
1081,146
1081,1223
1127,424
1129,401
1129,412
1133,426
1133,444
1133,1242
1134,426
1134,1242
1148,1251
1160,412
1160,441
1164,120
1164,1222
1164,1314
1229,148
1229,1318
1232,150
1232,1318
1234,1318
1242,144
1242,447
1242,1139
1245,446
1245,1318
1245,1319
1278,424
1280,414
1289,424
1289,1233
1309,140
1388,1138
1388,1222
1465,713
1465,765
1466,446
1466,1316
1467,145
1467,1318
1467,1321
1476,1217
1510,412
1510,444
1519,409
1519,1218
1607,412
1607,443
1607,1326
1607,1333
1625,430
1625,529
1627,430
1627,527
1627,533
1628,430
1628,529
1640,430
1640,527
1640,529
1658,433
1658,529
1691,1129
1691,1316
1692,1142
1703,430
1729,1217
1729,1222
1738,412
1738,441
1738,444
1808,1136
1808,1218
1814,1251
2002,465
2012,1318
2012,1319
2107,441
2107,444
2148,412
2148,441
2185,1267
2196,141
2196,142
2196,146
2196,1223
2245,1217
2247,1233
2247,1235
2247,1314
2271,1217
2271,1220
2271,1222
2343,426
2344,137
2344,142
2344,149
2358,412
2358,441
2358,444
2361,1129
2361,1130
2398,127
2403,441
2403,444
2403,446
2418,412
2418,441
2472,464
2472,466
2475,1136
2514,1136
2542,1136
2544,412
2544,1133
2544,1136
2544,1218
2572,430
2572,529
2582,412
2582,441
2605,537
2605,547
2605,559
2605,1138
2605,1188
2627,409
2627,412
2627,444
2677,424
2688,146
2688,1133
2690,1309
2690,1310
2705,126
2705,127
2716,426
2716,1242
2723,127
2737,142
2737,146
2737,1223
2754,141
2754,142
2754,146
2754,1223
2766,1142
2839,412
2839,441
2839,444
2864,1314
2880,1276
2880,1316
2899,409
2899,444
2900,127
2900,433
2900,532
2993,547
2993,1143
2993,1144
3026,409
3026,412
3038,444
3038,446
3038,1130
3042,1129
3061,433
3061,1216
3084,129
3084,133
3084,1313
3142,433
3142,1217
3158,412
3158,1223
3165,122
3173,126
3173,136
3193,1255
3193,1268
3206,119
3206,1222
3206,1310
3228,412
3228,441
3228,444
3229,412
3229,441
3266,1142
3300,433
3300,1217
3302,433
3302,1217
3303,433
3303,1217
3322,129
3322,1222
3322,1326
3360,1142
3360,1222
3368,1216
3370,149
3374,441
3374,443
3374,446
3378,426
3378,1251
3381,149
3383,1318
3394,141
3394,142
3405,412
3405,441
3406,150
3406,1318
3452,445
3457,1217
3457,1222
3458,412
3458,424
3458,1217
3481,446
3517,125
3517,127
3517,136
3517,412
3518,490
3518,491
3528,137
3528,390
3528,400
3542,424
3542,444
3559,412
3559,424
3564,464
3564,465
3568,128
3568,1311
3585,140
3585,443
3585,551
3595,424
3631,447
3631,1226
3631,1235
3631,1314
3635,143
3635,144
3635,1318
3636,149
3636,1318
3637,140
3658,441
3658,444
3658,446
3694,1217
3704,1133
3704,1136
3705,1133
3705,1136
3716,412
3716,441
3717,150
3730,433
3730,1217
3736,426
3805,136
3805,1310
3866,426
3866,444
3866,1254
3872,1255
3872,1268
3884,1310
3913,412
3913,1217
3926,1188
3929,446
3929,1129
3936,148
3936,539
4002,434
4021,424
4021,1239
4032,412
4032,441
4054,446
4054,613
4054,1129
4075,444
4087,1173
4087,1179
4092,122
4135,465
4158,1235
4158,1237
4158,1314
4162,128
